dataset,application_id,row_index,decision_id,decision_name,threshold,original_probability_good,decision_probability_good,would_approve,changed_feature_count,top_changes,customer_recommendations
german,german_000001,1,1,Reduce requested loan amount,0.38999999999999996,0.36314570903778076,0.3943256139755249,True,2,"[{""feature"": ""credit_amount"", ""from"": 5951.0, ""to"": 4463.0, ""delta"": -1488.0}, {""feature"": ""installment_rate"", ""from"": 2.0, ""to"": 1.0, ""delta"": -1.0}]","[""Requested loan amount could be reduced from 5951.0 to about 4463.0."", ""Installment burden could be lowered from 2.0 to about 1.0, for example with more income, a lower amount, or a down payment.""]"
german,german_000001,1,2,Use a shorter and more affordable repayment plan,0.38999999999999996,0.36314570903778076,0.41904881596565247,True,3,"[{""feature"": ""credit_amount"", ""from"": 5951.0, ""to"": 5058.0, ""delta"": -893.0}, {""feature"": ""duration"", ""from"": 48.0, ""to"": 36.0, ""delta"": -12.0}, {""feature"": ""installment_rate"", ""from"": 2.0, ""to"": 1.0, ""delta"": -1.0}]","[""Requested loan amount could be reduced from 5951.0 to about 5058.0."", ""Repayment duration could be shortened from 48.0 months to about 36.0 months."", ""Installment burden could be lowered from 2.0 to about 1.0, for example with more income, a lower amount, or a down payment.""]"
german,german_000001,1,3,Add guarantor support and clear other installment plans,0.38999999999999996,0.36314570903778076,0.530516505241394,True,2,"[{""feature"": ""installment_rate"", ""from"": 2.0, ""to"": 1.0, ""delta"": -1.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Installment burden could be lowered from 2.0 to about 1.0, for example with more income, a lower amount, or a down payment."", ""Adding support such as guarantor could make the application more acceptable.""]"
german,german_000004,4,1,Reduce requested loan amount,0.38999999999999996,0.14555923640727997,0.16342569887638092,False,2,"[{""feature"": ""credit_amount"", ""from"": 4870.0, ""to"": 3652.0, ""delta"": -1218.0}, {""feature"": ""installment_rate"", ""from"": 3.0, ""to"": 2.0, ""delta"": -1.0}]","[""Requested loan amount could be reduced from 4870.0 to about 3652.0."", ""Installment burden could be lowered from 3.0 to about 2.0, for example with more income, a lower amount, or a down payment.""]"
german,german_000004,4,2,Use a shorter and more affordable repayment plan,0.38999999999999996,0.14555923640727997,0.1683291643857956,False,3,"[{""feature"": ""credit_amount"", ""from"": 4870.0, ""to"": 4140.0, ""delta"": -730.0}, {""feature"": ""duration"", ""from"": 24.0, ""to"": 18.0, ""delta"": -6.0}, {""feature"": ""installment_rate"", ""from"": 3.0, ""to"": 2.0, ""delta"": -1.0}]","[""Requested loan amount could be reduced from 4870.0 to about 4140.0."", ""Repayment duration could be shortened from 24.0 months to about 18.0 months."", ""Installment burden could be lowered from 3.0 to about 2.0, for example with more income, a lower amount, or a down payment.""]"
german,german_000004,4,3,Add guarantor support and clear other installment plans,0.38999999999999996,0.14555923640727997,0.24935312569141388,False,2,"[{""feature"": ""installment_rate"", ""from"": 3.0, ""to"": 2.0, ""delta"": -1.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Installment burden could be lowered from 3.0 to about 2.0, for example with more income, a lower amount, or a down payment."", ""Adding support such as guarantor could make the application more acceptable.""]"
german,german_000009,9,1,Reduce requested loan amount,0.38999999999999996,0.2560917139053345,0.2788071930408478,False,2,"[{""feature"": ""credit_amount"", ""from"": 5234.0, ""to"": 3926.0, ""delta"": -1308.0}, {""feature"": ""installment_rate"", ""from"": 4.0, ""to"": 3.0, ""delta"": -1.0}]","[""Requested loan amount could be reduced from 5234.0 to about 3926.0."", ""Installment burden could be lowered from 4.0 to about 3.0, for example with more income, a lower amount, or a down payment.""]"
german,german_000009,9,2,Use a shorter and more affordable repayment plan,0.38999999999999996,0.2560917139053345,0.28854626417160034,False,3,"[{""feature"": ""credit_amount"", ""from"": 5234.0, ""to"": 4449.0, ""delta"": -785.0}, {""feature"": ""duration"", ""from"": 30.0, ""to"": 22.0, ""delta"": -8.0}, {""feature"": ""installment_rate"", ""from"": 4.0, ""to"": 3.0, ""delta"": -1.0}]","[""Requested loan amount could be reduced from 5234.0 to about 4449.0."", ""Repayment duration could be shortened from 30.0 months to about 22.0 months."", ""Installment burden could be lowered from 4.0 to about 3.0, for example with more income, a lower amount, or a down payment.""]"
german,german_000009,9,3,Add guarantor support and clear other installment plans,0.38999999999999996,0.2560917139053345,0.406128853559494,True,2,"[{""feature"": ""installment_rate"", ""from"": 4.0, ""to"": 3.0, ""delta"": -1.0}, {""feature"": ""other_debtors"", ""from"": ""a101"", ""to"": ""a103""}]","[""Installment burden could be lowered from 4.0 to about 3.0, for example with more income, a lower amount, or a down payment."", ""Adding support such as guarantor could make the application more acceptable.""]"
german,german_000010,10,1,Reduce requested loan amount,0.38999999999999996,0.16645494103431702,0.17526869475841522,False,2,"[{""feature"": ""credit_amount"", ""from"": 1295.0, ""to"": 971.0, ""delta"": -324.0}, {""feature"": ""installment_rate"", ""from"": 3.0, ""to"": 2.0, ""delta"": -1.0}]","[""Requested loan amount could be reduced from 1295.0 to about 971.0."", ""Installment burden could be lowered from 3.0 to about 2.0, for example with more income, a lower amount, or a down payment.""]"
